Altium Designer Pick and Place Locations
E:\Google Drive\Workspace\AD19\Projects\Phase Drift Compensation\Project Outputs for PRL_PDC\Pick Place for RF.csv

========================================================================================================================
File Design Information:

Date:       23/03/20
Time:       09:37
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Rotation","Pad-X(mm)","Pad-Y(mm)"
"R163","42,0378","34,8450","270","42,0378","36,4450"
"R162","28,3004","42,4200","0","27,8004","42,4200"
"R161","12,7500","30,0000","180","13,7750","30,0000"
"R160","76,0000","29,2500","90","76,0000","28,2250"
"R159","23,4394","34,8450","270","23,4394","36,4450"
"R158","27,1591","34,8450","270","27,1591","36,4450"
"R157","30,8787","34,8450","270","30,8787","36,4450"
"R29","-33,5050","34,8450","270","-33,5050","36,4450"
"R28","-28,5050","34,8450","270","-28,5050","36,4450"
"U24","28,0753","54,4603","360","27,0753","52,2103"
"U5","-32,2540","-0,0124","90","-34,0040","-2,5124"
"Cpl1","-24,5400","-41,0000","90","-22,0000","-43,5400"
"C56","-30,0000","5,2500","90","-30,0000","4,7500"
"U23","3,3770","34,7050","90","8,0125","30,8950"
"T1","-33,2540","-11,6850","0","-34,5240","-9,9700"
"R156","-34,6790","6,2500","90","-34,6790","5,7500"
"R155","59,8927","-37,4350","90","59,8927","-37,9350"
"R154","-29,1073","-37,4350","90","-29,1073","-37,9350"
"R153","-27,0000","-2,5000","360","-27,5000","-2,5000"
"R40","-34,0240","-6,7000","180","-33,5240","-6,7000"
"R36","-34,1790","4,7500","180","-33,6790","4,7500"
"R26","-32,4840","-6,7000","180","-31,9840","-6,7000"
"R25","-32,3290","4,7500","180","-31,8290","4,7500"
"C125","-33,7240","6,2500","270","-33,7240","6,7500"
"C124","-29,0920","-5,2500","270","-29,0920","-4,7500"
"C123","-27,0000","4,5000","360","-27,5000","4,5000"
"C122","-27,0000","-3,5000","360","-27,5000","-3,5000"
"C121","-33,7040","-5,2500","270","-33,7040","-4,7500"
"C120","-33,2540","-8,1500","270","-33,2540","-7,6500"
"C119","-32,7840","6,2500","270","-32,7840","6,7500"
"C118","-32,8040","-5,2500","270","-32,8040","-4,7500"
"C94","60,0000","46,0000","270","60,0000","49,2200"
"C93","66,0000","46,0000","270","66,0000","49,2200"
